time,temp,snr,rssi
1838,19,7,-52
1844,19,6,-51
1849,19,6,-51
1854,19,6,-51
1860,19,6,-52
1865,19,7,-51
1871,19,6,-51
1876,19,6,-52
1881,19,6,-51
1887,19,7,-51
1892,19,7,-51
1898,19,6,-51
1903,19,6,-51
1908,19,7,-51
1914,19,6,-51
1919,19,6,-51
1925,19,6,-52
1930,19,7,-51
1935,19,7,-51
1941,19,6,-52
1946,19,6,-51
1952,19,7,-52
1957,19,6,-51
1962,19,6,-51
1968,19,6,-52
1973,19,7,-52
1979,19,6,-52
1984,19,6,-52
1989,19,7,-51
1995,19,7,-51
2000,19,7,-52
2006,19,6,-52
2011,19,6,-52
2016,19,7,-51
2022,19,7,-52
2027,19,6,-52
2033,19,7,-51
2038,19,7,-51
2043,19,7,-51
2049,19,6,-52
2054,19,7,-51
2060,19,6,-51
2065,19,6,-51
2070,19,6,-51
2076,19,7,-51
2081,19,6,-51
2087,19,7,-51
2092,19,6,-51
2097,19,7,-51
2103,19,7,-52
2108,19,6,-52
2114,19,7,-52
2119,19,7,-51
2124,19,6,-51
2130,19,7,-52
2135,19,6,-52
2141,19,7,-52
2146,19,7,-52
2151,19,6,-52
2157,19,6,-51
2162,19,7,-51
2168,19,6,-51
2173,19,7,-51
2178,19,6,-51
2184,19,7,-51
2189,19,6,-51
2195,19,6,-51
2200,19,6,-51
2205,19,6,-51
2211,19,7,-51
2216,19,6,-51
2222,19,7,-51
2227,19,7,-51
2232,19,6,-51
2238,19,7,-51
2243,19,7,-51
2249,19,7,-51
2254,19,7,-51
2259,19,7,-51
2265,19,6,-51
2270,19,7,-51
2276,19,6,-51
2281,19,7,-51
2286,19,6,-51
2292,19,6,-51
2297,19,8,-51
2303,19,7,-51
2308,19,6,-51
2313,19,6,-51
2319,19,6,-51
2324,19,7,-51
2330,19,7,-51
2335,19,6,-51
2340,19,6,-51
2346,19,6,-51
2351,19,6,-51
2357,19,6,-51
2362,19,7,-51
2367,19,6,-52
2373,19,7,-52
2378,19,6,-52
2384,19,6,-51
2389,19,6,-52
2394,19,6,-51
2400,19,6,-51
2405,19,6,-52
2411,19,6,-51
2416,19,7,-53
2422,19,8,-53
2427,19,8,-53
2432,19,7,-53
2438,19,7,-52
2443,19,8,-53
2449,19,6,-52
2454,19,8,-52
2459,19,7,-52
2465,19,7,-52
2470,19,7,-52
2476,19,6,-52
2481,19,6,-52
2486,19,6,-52
2492,19,7,-52
2497,19,7,-52
2503,19,6,-52
2508,19,7,-52
2513,19,7,-52
2519,19,6,-52
2524,19,7,-52
2530,19,6,-52
2535,19,7,-52
2540,19,7,-52
2546,19,6,-52
2551,19,6,-52
2557,19,6,-52
2562,19,7,-52
2567,19,6,-52
2573,19,6,-52
2578,19,6,-52
2584,19,7,-52
2589,19,7,-52
2594,19,6,-52
2600,19,7,-52
2605,19,6,-52
2611,19,8,-54
2616,19,6,-52
2621,19,6,-52
2627,19,7,-52
2632,19,7,-51
2638,19,6,-51
2643,19,6,-51
2648,19,8,-54
2654,19,6,-52
2659,19,6,-52
2665,19,7,-52
2670,19,6,-52
2675,19,7,-51
2681,19,6,-51
2686,19,6,-51
2692,19,6,-52
2697,19,6,-53
2702,19,8,-53
2708,19,7,-53
2713,19,9,-53
2719,19,8,-53
2724,19,7,-52
2729,19,9,-53
2735,19,6,-54
2740,19,8,-52
2746,19,8,-55
2751,19,5,-54
2756,19,7,-54
2762,19,7,-53
2767,19,8,-53
2773,19,10,-52
2778,19,9,-53
2783,19,6,-53
2789,19,7,-52
2794,19,8,-53
2800,19,10,-53
2805,19,8,-53
2810,19,7,-53
2816,19,6,-54
2821,19,9,-53
2827,19,7,-52
2832,19,6,-52
2837,19,6,-51
2843,19,6,-51
2848,19,6,-53
2854,19,7,-52
2859,19,7,-52
2864,19,7,-52
2870,19,6,-52
2875,19,6,-52
2881,19,6,-51
2886,19,6,-52
2891,19,6,-52
2897,19,6,-52
2902,19,8,-53
2908,19,6,-52
2913,19,8,-52
2918,19,6,-52
2924,19,7,-54
2929,19,8,-52
2935,19,7,-52
2940,19,5,-52
2945,19,7,-52
2951,19,6,-52
2956,19,6,-52
2962,19,6,-51
2967,19,6,-51
2972,19,6,-51
2978,19,7,-53
2983,19,7,-52
2989,19,7,-52
2994,19,7,-54
2999,19,6,-53
3005,19,8,-54
3010,19,7,-53
3016,19,7,-54
3021,19,7,-55
3027,19,7,-54
3032,19,8,-53
3037,20,7,-53
3043,20,7,-55
3049,20,8,-53
3055,20,7,-53
3061,20,9,-54
3066,20,6,-52
3072,20,7,-52
3078,20,8,-53
3084,20,8,-53
3090,20,6,-52
3095,20,8,-53
3101,20,8,-53
3107,20,8,-53
3113,20,7,-52
3119,20,8,-53
3124,20,8,-52
3130,20,8,-52
3136,20,8,-53
3142,20,8,-52
3148,20,8,-53
3153,20,8,-52
3159,20,7,-52
3165,20,8,-52
3171,20,8,-53
3177,20,8,-53
3182,20,8,-52
3188,20,8,-53
3194,20,10,-53
3200,20,9,-53
3206,20,7,-52
3211,20,7,-52
3217,20,7,-52
3223,20,8,-53
3229,20,7,-55
3235,20,7,-54
3240,20,8,-53
3246,20,8,-53
3252,20,8,-53
3258,20,8,-53
3264,20,8,-53
3269,20,8,-53
3275,20,6,-56
3281,20,7,-56
3287,20,7,-56
3293,20,8,-57
3298,20,7,-56
3304,20,6,-56
3310,20,7,-56
3316,20,7,-56
3322,20,6,-56
3327,20,6,-55
3333,20,6,-54
3339,20,6,-55
3345,20,7,-54
3351,20,7,-55
3356,20,6,-54
3362,20,7,-55
3368,20,6,-52
3374,20,6,-52
3380,20,6,-52
3385,20,7,-54
3391,20,6,-56
3397,20,6,-55
3403,20,7,-56
3409,20,10,-53
3414,20,9,-55
3420,20,9,-55
3426,20,8,-55
3432,20,8,-55
3438,20,8,-55
3443,20,7,-56
3449,20,8,-54
3455,20,7,-57
